p=54,7 v=-80,-65
p=84,78 v=39,-18
p=82,101 v=80,72
p=91,69 v=-25,16
p=29,50 v=-80,60
p=79,24 v=-30,90
p=76,50 v=-36,-19
p=51,89 v=51,-28
p=76,85 v=-74,92
p=100,52 v=29,-43
p=67,97 v=-29,-93
p=65,17 v=-9,-27
p=4,36 v=-96,-47
p=32,53 v=-24,-43
p=64,10 v=-94,-41
p=5,71 v=51,64
p=12,3 v=-91,-55
p=18,21 v=-49,-75
p=29,67 v=-97,-22
p=25,36 v=50,-78
p=68,58 v=-93,12
p=46,38 v=-24,1
p=18,86 v=43,85
p=1,54 v=86,-50
p=28,0 v=-85,-93
p=55,13 v=-98,7
p=25,58 v=94,84
p=98,87 v=-20,6
p=21,16 v=86,86
p=21,13 v=-52,-48
p=2,8 v=35,72
p=54,21 v=-61,-10
p=17,11 v=-57,48
p=32,95 v=-63,-11
p=77,76 v=27,57
p=4,101 v=93,75
p=25,45 v=87,80
p=89,101 v=-50,-4
p=56,72 v=90,-29
p=72,27 v=-24,-82
p=20,92 v=39,6
p=15,100 v=-35,-59
p=89,99 v=-56,68
p=97,21 v=56,7
p=60,101 v=-59,44
p=43,47 v=-67,1
p=83,75 v=28,-29
p=25,63 v=70,77
p=18,101 v=-25,92
p=88,97 v=16,6
p=54,65 v=48,-50
p=23,29 v=36,93
p=99,27 v=-60,-65
p=78,69 v=97,60
p=81,94 v=-61,-1
p=9,88 v=-83,-39
p=22,61 v=-39,-9
p=6,98 v=-16,-73
p=0,91 v=42,-87
p=48,67 v=99,77
p=39,17 v=45,-62
p=44,50 v=-3,-85
p=91,86 v=-43,81
p=99,91 v=12,64
p=100,78 v=59,-36
p=4,89 v=-26,-70
p=39,34 v=38,14
p=75,58 v=54,80
p=8,90 v=52,33
p=87,6 v=86,-90
p=14,84 v=-78,98
p=6,60 v=29,80
p=26,13 v=51,75
p=7,28 v=59,24
p=88,32 v=-75,55
p=76,96 v=0,64
p=54,58 v=-47,-30
p=97,54 v=-6,-37,1
p=74,10 v=-45,-11,1
p=38,19 v=-42,-21,1
p=32,56 v=-66,18,1
p=20,77 v=77,29,1
p=95,66 v=-30,-16,1
p=13,53 v=75,-13,1
p=37,97 v=24,64,1
p=85,100 v=-89,95,1
p=12,42 v=18,-58,1
p=92,28 v=58,72,1
p=54,10 v=83,-11,1
p=57,18 v=-40,-100,1
p=7,93 v=16,-46,1
p=58,74 v=-29,-2,1
p=21,80 v=-15,60,1
p=20,48 v=-94,-99,1
p=51,86 v=-20,-84,1
p=52,52 v=81,-92,1
p=91,75 v=-34,77,1
p=66,3 v=-51,-49,1
p=94,17 v=-45,27,1
p=81,21 v=8,-69,1
p=23,6 v=51,-18,1
p=26,14 v=29,-4,1
p=61,42 v=-42,-58,1
p=2,99 v=-89,16,1
p=0,52 v=-56,-92,1
p=100,50 v=67,59,1
p=56,49 v=-44,-20,1
p=14,81 v=25,-67,1
p=87,73 v=-70,-81
p=58,30 v=-82,-55,1
p=65,60 v=-31,49,1
p=99,27 v=-14,17
p=71,74 v=-57,-81
p=80,13 v=-92,-59
p=40,8 v=-3,85
p=56,102 v=-1,-8
p=26,35 v=81,-48
p=88,12 v=93,-11,1
p=30,78 v=-50,-50,1
p=76,91 v=-57,50
p=38,12 v=37,-90,1
p=69,35 v=26,79,1
p=68,12 v=-91,37,1
p=32,30 v=-72,-86,1
p=61,41 v=-14,86,1
p=54,50 v=-75,-27,1
p=50,47 v=81,45,1
p=90,57 v=-45,-92,1
p=88,99 v=19,-70,1
p=48,1 v=62,-87
p=36,66 v=-36,1
p=4,25 v=7,-21,1
p=96,59 v=58,90,1
p=50,28 v=-31,-93,1
p=51,38 v=-31,-24,1
p=59,48 v=94,-58,1
p=96,56 v=-100,59,1
p=6,5 v=12,-56,1
p=67,23 v=-77,27
p=13,18 v=-77,-35
p=48,38 v=28,0,1
p=75,83 v=-25,53,1
p=6,30 v=-63,-14,1
p=75,54 v=98,28,1
p=93,75 v=-78,39,1
p=26,86 v=64,84,1
p=17,19 v=73,-59,1
p=53,10 v=0,54,1
p=21,12 v=-60,-97
p=2,6 v=-72,71,1
p=38,64 v=68,18,1
p=57,28 v=-29,-45,1
p=17,17 v=-83,13,1
p=13,82 v=-96,-2,1
p=91,33 v=67,41,1
p=22,35 v=-72,-7,1
p=7,89 v=-100,36,1
p=17,90 v=-47,12
p=18,91 v=-55,-91
p=42,82 v=94,22,1
p=98,56 v=-98,28,1
p=69,46 v=30,62,1
p=91,10 v=1,-1,1
p=62,98 v=83,-53,1
p=16,77 v=-6,-64,1
p=13,31 v=-63,10,1
p=49,91 v=44,-91,1
p=63,78 v=-22,-88
p=72,102 v=40,57
p=96,84 v=66,-2
p=66,2 v=32,9,1
p=69,6 v=-93,-87,1
p=67,29 v=41,-21,1
p=54,61 v=-7,-68,1
p=78,80 v=19,-9,1
p=50,57 v=35,-75,1
p=77,49 v=-49,-89,1
p=64,93 v=-86,91,1
p=81,63 v=96,90,1
p=59,67 v=34,18
p=53,67 v=74,-85,1
p=2,35 v=-74,-38,1
p=57,82 v=-62,70,1
p=16,10 v=-4,-56,1
p=61,5 v=15,64,1
p=41,56 v=44,-27,1
p=56,35 v=92,65,1
p=73,64 v=-84,90,1
p=77,35 v=-62,65,1
p=5,56 v=-73,76
p=51,90 v=-5,-98,1
p=7,47 v=62,-96,1
p=27,26 v=-46,99,1
p=47,75 v=48,-47,1
p=83,63 v=21,35,1
p=88,77 v=-23,-95,1
p=43,78 v=-22,87,1
p=50,62 v=-55,59,1
p=11,91 v=82,84,1
p=74,11 v=-95,47,1
p=43,14 v=9,78,1
p=13,26 v=69,-4
p=97,71 v=-59,-30
p=86,5 v=-87,9,1
p=84,46 v=-89,55,1
p=6,33 v=73,-45,1
p=2,99 v=27,19,1
p=23,38 v=-94,41,1
p=88,21 v=-80,37,1
p=97,60 v=-67,28,1
p=82,34 v=-93,-69,1
p=13,47 v=71,31,1
p=0,71 v=-23,73,1
p=42,92 v=-100,84
p=19,75 v=-18,-23
p=82,74 v=60,-78
p=47,91 v=-62,29,1
p=4,21 v=73,-42,1
p=31,4 v=90,57,1
p=100,90 v=49,53,1
p=80,72 v=-80,73,1
p=69,53 v=52,14,1
p=7,92 v=82,5,1
p=42,8 v=20,64,1
p=9,79 v=-58,8
p=32,67 v=2,11,1
p=54,54 v=-84,-89,1
p=18,81 v=-81,87,1
p=82,67 v=34,-92,1
p=9,92 v=-17,-74,1
p=87,15 v=-56,-80,1
p=45,84 v=13,15,1
p=41,99 v=11,67,1
p=6,31 v=-89,51,1
p=2,50 v=-68,31
p=66,38 v=-69,-93,1
p=8,99 v=-94,91,1
p=79,53 v=-56,62,1
p=63,45 v=30,48,1
p=89,59 v=12,-82,1
p=70,50 v=30,31,1
p=13,69 v=36,-13,1
p=80,86 v=-64,-9
p=65,82 v=5,-16
p=80,14 v=-8,-8
p=25,78 v=79,1,1
p=42,81 v=-53,32,1
p=86,76 v=-21,49,1
p=15,4 v=-37,26,1
p=35,80 v=97,56,1
p=28,100 v=-23,91
p=18,67 v=-46,83,1
p=14,25 v=-37,-42,1
p=87,52 v=80,-72,1
p=39,59 v=13,69,1
p=78,54 v=76,86,1
p=23,44 v=86,-86,1
p=22,25 v=-63,-42,1
p=89,10 v=74,-94
p=41,90 v=54,-33
p=37,100 v=48,36,1
p=6,47 v=62,-31,1
p=91,71 v=47,11,1
p=27,9 v=-46,-46,1
p=1,88 v=-98,-88,1
p=25,61 v=-48,-58,1
p=36,67 v=-57,-99,1
p=28,99 v=7,60,1
p=87,59 v=30,93,1
p=74,18 v=-33,47
p=58,43 v=19,-14,1
p=66,66 v=-82,-51,1
p=65,51 v=-60,0,1
p=54,101 v=-29,-67,1
p=67,101 v=85,36,1
p=66,29 v=6,13,1
p=92,102 v=-1,-91,1
p=49,93 v=79,22,1
p=82,74 v=30,66,1
p=9,13 v=-21,88,1
p=85,20 v=55,-80
p=99,62 v=53,69
p=57,91 v=30,94,1
p=64,80 v=52,-54,1
p=49,64 v=26,-82,1
p=48,57 v=48,86,1
p=69,37 v=-62,-52,1
p=66,91 v=83,94,1
p=53,83 v=-66,80,1
p=38,79 v=-37,73,1
p=42,35 v=-3,-83
p=94,101 v=-74,-19,1
p=63,32 v=-27,92,1
p=33,59 v=-90,62,1
p=71,93 v=8,70,1
p=12,55 v=49,55,1
p=43,93 v=-79,70,1
p=18,36 v=-96,99,1
p=95,78 v=43,18,1
p=66,29 v=77,-42
p=11,94 v=96,-57
p=2,63 v=-2,93
p=77,70 v=12,28,1
p=82,34 v=-23,68,1
p=38,59 v=-33,-17,1
p=40,80 v=-44,-6,1
p=18,48 v=73,41,1
p=51,95 v=-77,46,1
p=23,53 v=-61,24,1
p=23,56 v=-74,55,1
p=69,66 v=46,21
p=18,93 v=-22,15
p=39,56 v=-75,-24,1
p=25,20 v=-92,-87,1
p=0,37 v=93,20,1
p=26,41 v=-81,27,1
p=14,46 v=-96,10,1
p=93,60 v=56,86,1
p=64,43 v=-18,82,1
p=45,95 v=88,70,1
p=6,67 v=86,-58,1
p=6,55 v=27,-79,1
p=95,97 v=-32,46,1
p=1,22 v=3,95,1
p=24,28 v=86,54,1
p=22,23 v=-83,71,1
p=94,12 v=-56,-77,1
p=7,65 v=-100,-10,1
p=77,63 v=79,38
p=32,46 v=-47,34
p=32,20 v=-40,-39
p=100,65 v=62,14,1
p=70,28 v=41,-25,1
